West Ham,Liverpool
Arsenal,Newcastle
Leicester,Bournemouth
Man United,Swansea
Norwich,Southampton
Sunderland,Aston Villa
West Brom,Stoke
Watford,Man City
Crystal Palace,Chelsea
Everton,Tottenham
